severity,method,precision,recall,f1
easy,cnn,0.8030821917670705,0.8766355140023059,0.8382484310982693
easy,ensemble,0.10124089028934166,0.960747663533444,0.18317890062658287
moderate,classical,0.1923820572308732,0.4161438728548049,0.26312309497458186
moderate,cnn,0.8899622007522472,0.8862400669139011,0.8880972288605078
moderate,ensemble,0.2699628597954155,0.9728147218696244,0.4226401346924017
hard,classical,0.3156303156297191,0.4992526158430516,0.38675312170041487
hard,cnn,0.9482425646931316,0.733931240655504,0.8274351147278446
hard,ensemble,0.3405455173203584,0.8846038863949638,0.4917733049431488
easy,classical,0.015256588072100893,0.09393680614778877,0.026249848449079814
easy,cnn,0.8364632237806224,0.9128949615635108,0.8730093865908186
easy,ensemble,0.11290163124061996,0.9752348420070434,0.2023746215670688
moderate,classical,0.20177731312040115,0.47615131578751585,0.28344143505463754
moderate,cnn,0.9042298483603184,0.9317434210488005,0.9177804729236917
moderate,ensemble,0.2661299216937618,0.9921874999959204,0.4196886652438302
hard,classical,0.49803591470118397,0.5944407233737627,0.5419847278617079
hard,cnn,0.9916201117278867,0.8322170127232679,0.9049526534471344
hard,ensemble,0.4168362896184693,0.9601473543169453,0.5813057540902911
easy,classical,0.07900943396195358,0.1709183673454854,0.10806451180462211
easy,cnn,0.9321100917345679,0.8639455782239461,0.896734328626825
easy,ensemble,0.19344537815093538,0.978741496590317,0.32304237726003826
moderate,classical,0.11741698595137498,0.32422305488136605,0.1723996444993388
moderate,cnn,0.9155906264923109,0.843949746526683,0.8783117280031776
moderate,ensemble,0.26924239675901246,0.981485563145291,0.42256594841454814
hard,classical,0.5420501428100856,0.42957746478765196,0.47930405006775806
hard,cnn,0.9417445482836706,0.760311871225452,0.8413581915476532
hard,ensemble,0.5056336068987264,0.9142354124725497,0.651141956899693
easy,classical,0.11799850634713968,0.20492866406997498,0.14976302853626394
easy,cnn,0.7690607734721651,0.9027237353968518,0.8305489210363707
easy,ensemble,0.14186396091668196,0.9792477302077919,0.24782537116794184
moderate,classical,0.26331719128169906,0.27992277992097864,0.27136618339973523
moderate,cnn,0.9111709286614323,0.8712998712942646,0.8907894686808521
moderate,ensemble,0.26884830952762817,0.9568854568792994,0.4197600530315578
hard,classical,0.49364675984595413,0.45652173912909366,0.47435896936515953
hard,cnn,0.926032315975131,0.7576380728532385,0.8334141168763747
hard,ensemble,0.46406249999934085,0.9597532314895425,0.6256223625140481
easy,classical,0.025102459016329143,0.10337552742506988,0.040395709963656545
easy,cnn,0.8467230443885124,0.8449367088518467,0.8458289284652029
easy,ensemble,0.13612086067429252,0.9409282700322686,0.237834953130445
moderate,classical,0.10420353982277832,0.21159029649500635,0.13963829975802258
moderate,cnn,0.9575026232898348,0.8198562443808632,0.8833494625958966
moderate,ensemble,0.2718320808496089,0.9424977538142746,0.4219629892837412
hard,classical,0.30937147158410566,0.45247706421935324,0.367483789229966
hard,cnn,0.9624258404725062,0.8036697247691676,0.8759124037977745
hard,ensemble,0.4303952860296011,0.9649541284385964,0.5952798644297429
easy,classical,0.026804123711063874,0.08637873753865852,0.04091266357580408
easy,cnn,0.8130563797978322,0.9102990032920166,0.8589341642679907
easy,ensemble,0.06640979147763733,0.9734219268779594,0.12433693918141016
moderate,classical,0.17603211009154124,0.5079417604218798,0.26145460356923994
moderate,cnn,0.8954226528536738,0.8868299139613275,0.8911055644069622
moderate,ensemble,0.2571280006930781,0.9818001323594249,0.40752695227632774
hard,classical,0.4204491160992812,0.47413793103192814,0.4456824462692338
hard,cnn,0.97273936169566,0.7882543103405806,0.8708333283830252
hard,ensemble,0.2949640287764849,0.9498922413741925,0.4501468111408711
easy,classical,0.028985507246330137,0.10262257696634765,0.045203411934348986
easy,cnn,0.8458266879274544,0.9070695552969951,0.8753782618513558
easy,ensemble,0.18662860906774986,0.9692132269043945,0.3129890426749472
moderate,classical,0.19064748201421702,0.49788633160991574,0.2757185549755728
moderate,cnn,0.9268917345729293,0.9349459840278653,0.9309014330898144
moderate,ensemble,0.29475082127609226,0.9903710662259503,0.45429571421292203
hard,classical,0.30374753451376973,0.10837438423607187,0.15975103346726457
hard,cnn,0.8359486447812275,0.20619282195564323,0.3307931100048858
hard,ensemble,0.29852670349852944,0.5703729767749107,0.3919245602853729
easy,classical,0.03655352480401848,0.11413043478105801,0.055372441941242745
easy,cnn,0.947284345032791,0.8057065217281834,0.8707782622738652
easy,ensemble,0.11847111726025861,0.9307065217264849,0.21018717197575182
moderate,classical,0.3357946554137279,0.48159354513120733,0.3956909004816607
moderate,cnn,0.9376583882365046,0.9329299041808728,0.9352881648638576
moderate,ensemble,0.29755207541387024,0.9868885526929557,0.4572429870932765
hard,classical,0.2660135644290429,0.585406301814504,0.3658031045081103
hard,cnn,0.9316987740642434,0.8822553897034452,0.9063032317855495
hard,ensemble,0.11905231984181826,0.9999999999834163,0.21277346316492038
easy,classical,0.22459893047994892,0.49347258484995465,0.3086974232199375
easy,cnn,0.7281059063062311,0.9334203655230624,0.8180777982706485
easy,ensemble,0.13703366696972333,0.9830287206137985,0.24053665333804664
moderate,classical,0.3064391000752022,0.2525575447554185,0.27690150222993276
moderate,cnn,0.7975830815589489,0.33759590792623023,0.47439352681402264
moderate,ensemble,0.22081076032090266,0.7557544756984926,0.34176665834695286
hard,classical,0.3892264074508334,0.41946748144731794,0.4037815076103374
hard,cnn,0.9770788912527875,0.8000872981195981,0.879769613475896
hard,ensemble,0.3710553104846097,0.9546049759888494,0.534392176786125
easy,classical,0.055571761960245665,0.2426751592341231,0.09043436677532546
easy,cnn,0.9487889273290742,0.87324840763775,0.9094527313209696
easy,ensemble,0.15973428717408303,0.9955414012675444,0.2752972235082358
moderate,classical,0.19091321096737943,0.3654304923002268,0.25080002526017114
moderate,cnn,0.9489855072436262,0.7100412058106483,0.812306160589856
moderate,ensemble,0.3550193527132051,0.93493819127969,0.5146233695326667
hard,classical,0.4329875518663216,0.49105882352825636,0.460198451468567
hard,cnn,0.8886768447808885,0.6574117647043355,0.7557478988155353
hard,ensemble,0.4203405118948919,0.8771764705861713,0.5683359968385571
easy,classical,0.0926332832195066,0.353174603173046,0.14677049602036685
easy,cnn,0.9334609861132913,0.8597883597845689,0.8951113101294166
easy,ensemble,0.20029226413352788,0.9669312169269536,0.3318453478411902
moderate,classical,0.20366598777865808,0.5454545454446281,0.2965892199627663
moderate,cnn,0.8864468864306512,0.879999999984,0.8832116738160665
moderate,ensemble,0.10624751293253831,0.970909090891438,0.19153514886678205
hard,classical,0.29678912351721454,0.5934065934054494,0.39568067430510057
hard,cnn,0.9634448574949124,0.8993637940989023,0.9303021188449232
hard,ensemble,0.37568528670886375,0.9776363986871455,0.5427883288759761
easy,classical,0.04309687261624123,0.14656290531681868,0.06660771826798123
easy,cnn,0.7817319098411523,0.8547341115379071,0.8166047038029081
easy,ensemble,0.1687825889818989,0.9656290531714292,0.287340792526318
moderate,classical,0.2319783197819405,0.2864792503327545,0.2563641759461997
moderate,cnn,0.7748943874425173,0.8594377509982636,0.8149793666362617
moderate,ensemble,0.2381906192618291,0.9551539491234595,0.38129592198749485
hard,classical,0.3564701064697415,0.5789823744586315,0.4412621927224634
hard,cnn,0.9627599243838133,0.8468573328885154,0.9010969518483575
hard,ensemble,0.44165402124397446,0.9679082141653343,0.606543707272838
easy,classical,0.03478904515168795,0.2473684210500277,0.06099934890868465
easy,cnn,0.9579439252224539,0.8631578947277563,0.9080841589016065
easy,ensemble,0.10621731551411247,0.9621052631477673,0.19131344666512165
moderate,classical,0.3021323733029573,0.39033989266407754,0.3406181655452546
moderate,cnn,0.8612936700073979,0.8908765652919826,0.8758353801548694
moderate,ensemble,0.34720992028299735,0.9817531305868274,0.5129930789581593
hard,classical,0.4968048500729202,0.6299605235806567,0.5555148356697619
hard,cnn,0.9306177260498419,0.8639102430898319,0.8960241303352229
hard,ensemble,0.4842872008319622,0.9669644712217599,0.6453581041287774
easy,classical,0.05457463884386377,0.13518886679651712,0.07775871516959972
easy,cnn,0.9809976246797862,0.8210735586317878,0.8939393889594226
easy,ensemble,0.0998677248675047,0.9005964214532685,0.1797975770868441
moderate,classical,0.040618955512460295,0.13815789473554363,0.06278026554637264
moderate,cnn,0.936254980070356,0.8834586466082383,0.9090909040863261
moderate,ensemble,0.14514993664628306,0.9689849623969081,0.2524794883662689
hard,classical,0.4517426273428168,0.3727876106174072,0.40848484352822045
hard,cnn,0.9972222222083719,0.3971238938031133,0.5680379706051841
hard,ensemble,0.28824321724016116,0.828539823004267,0.4276945000948454
easy,classical,0.04997077732305678,0.22265624999710082,0.08162290870018069
easy,cnn,0.982658959523372,0.8854166666551377,0.9315068443158567
easy,ensemble,0.11672967863875752,0.9648437499874369,0.20826306721382454
moderate,classical,0.15849209566242706,0.32062320623074775,0.21212531769324006
moderate,cnn,0.9267259635708314,0.8970889708860308,0.9116666616641885
moderate,ensemble,0.288821752265512,0.9799097990939734,0.4461452270221815
hard,classical,0.5310957551800045,0.49722735674446755,0.5136038136187241
hard,cnn,0.9189189189131433,0.6756007393684123,0.7786950683479669
hard,ensemble,0.30256655507683317,0.8770794824358731,0.44992295458241766
easy,classical,0.024945175438528113,0.08617424242342639,0.03869047270842946
easy,cnn,0.8785340314044132,0.794507575750052,0.8344107359292267
easy,ensemble,0.1426019648702849,0.9071969696883789,0.2464625651844555
moderate,classical,0.2758137906885691,0.645901639338968,0.38655873997883644
moderate,cnn,0.857597454249343,0.8836065573698065,0.870407746306159
moderate,ensemble,0.189597046074507,0.9680327868773113,0.31708953948045376
hard,classical,0.6327551701112983,0.40830822212568163,0.4963369915681014
hard,cnn,0.9877258779373075,0.6235471373210858,0.7644807974700575
hard,ensemble,0.5778385772905912,0.9091691777853871,0.7065908283015884
easy,classical,0.026438819925799713,0.10067526089563736,0.04187946555101781
easy,cnn,0.8741346758912893,0.8526703499026848,0.8632691062446305
easy,ensemble,0.16239770432547304,0.9379987722471579,0.27686174780056666
moderate,classical,0.16451779267578898,0.26517040731284147,0.20305537401271911
moderate,cnn,0.9009235936112434,0.8919368245977396,0.896407680874007
moderate,ensemble,0.22148541114016393,0.9717373233501935,0.36074679530917925
hard,classical,0.1969205834681675,0.43851508120536603,0.2717903608257964
hard,cnn,0.9228861889389465,0.9595256509384905,0.9408493377699912
hard,ensemble,0.32142857142830383,0.9953596287677356,0.48593543146105295
easy,classical,0.04723385815391126,0.1515994436710635,0.07202642809545007
easy,cnn,0.8458417849855688,0.7732962447808378,0.8079438070671559
easy,ensemble,0.20391517128853595,0.9272137227587983,0.3343083965424498
moderate,classical,0.17285582132922842,0.4200385356441232,0.24492088342594984
moderate,cnn,0.8649878640750456,0.9155427103374582,0.8895475769045316
moderate,ensemble,0.2721761611836746,0.980411046881887,0.4260693567262839
hard,classical,0.29701426024922345,0.4429307193878669,0.35558519025898483
hard,cnn,0.8972398358804602,0.7993022096680523,0.8454441563366776
hard,ensemble,0.4070333502867056,0.9307193886012116,0.566373466597729
easy,classical,0.0174987133298797,0.0823743185942921,0.02886553886923976
easy,cnn,0.9571929824494233,0.8261659600192237,0.8868660548391699
easy,ensemble,0.15662770951937205,0.9497274379106619,0.26890756059417714
moderate,classical,0.23572536303364483,0.4148883374679531,0.3006383123794265
moderate,cnn,0.8876636802184984,0.9588089330001023,0.9218656755491816
moderate,ensemble,0.36249548573459506,0.9962779156302822,0.5315768529651761
hard,classical,0.48673066064232995,0.45997865528159027,0.4729766753867828
hard,cnn,0.994002998497024,0.7075773745978987,0.8266832869096702
hard,ensemble,0.46196222455343394,0.9397011739569379,0.6194161053229894
easy,classical,0.01979264844467679,0.02621722846409217,0.02255638607469178
easy,cnn,0.7719298245523751,0.8239700374428968,0.7971014442710522
